case,parallel_threshold,cost_threshold_us,cost_per_operand_us,cost_per_nesting_us,sequential_ms,forced_parallel_ms,adaptive_ms,best_baseline_ms,regret,used_parallel,disjunctions_detected,estimated_branch_count,estimated_cost_us,branch_threshold,cost_gate_threshold_us,branch_gate_passed,cost_gate_passed,branches_created,branches_pruned,nogood_hits
synthetic_union_1x4,500,1000,25,15,0.003,4.168,0.024,0.003,9.085315,false,1,1,140,500,48000,false,false,0,0,0
synthetic_union_2x8,500,1000,25,15,0.003,0.669,0.225,0.003,71.760383,false,2,3,560,500,48000,false,false,0,0,0
synthetic_complement_4x4,500,1000,25,15,0.002,1.009,0.053,0.002,32.093293,false,4,6,800,500,48000,false,false,0,0,0
synthetic_union_6x8,500,1000,25,15,0.004,3243.070,0.295,0.004,80.129348,false,6,11,1680,500,48000,false,false,0,0,0
synthetic_complement_6x6,500,1000,25,15,0.021,576.235,0.263,0.021,12.346617,false,6,10,1800,500,48000,false,false,0,0,0
hierarchy_100,500,1000,25,15,1.588,1.195,0.433,1.195,0.362588,false,0,10,0,500,48000,false,false,0,0,0
univ_bench,500,1000,25,15,0.038,0.035,0.004,0.035,0.117503,false,0,1,0,500,48000,false,false,0,0,0
disjunctive_5k,500,1000,25,15,32.908,1416.108,1167.219,32.908,35.468728,true,1000,1500,70000,500,48000,true,true,1253,0,0
synthetic_union_1x4,500,1000,25,30,0.003,4.168,0.040,0.003,15.010948,false,1,1,140,500,48000,false,false,0,0,0
synthetic_union_2x8,500,1000,25,30,0.003,0.669,0.159,0.003,50.717252,false,2,3,560,500,48000,false,false,0,0,0
synthetic_complement_4x4,500,1000,25,30,0.002,1.009,0.119,0.002,72.546951,false,4,6,1040,500,48000,false,false,0,0,0
synthetic_union_6x8,500,1000,25,30,0.004,3243.070,0.608,0.004,165.153261,false,6,11,1680,500,48000,false,false,0,0,0
synthetic_complement_6x6,500,1000,25,30,0.021,576.235,0.540,0.021,25.386842,false,6,10,2340,500,48000,false,false,0,0,0
hierarchy_100,500,1000,25,30,1.588,1.195,0.870,1.195,0.727739,false,0,10,0,500,48000,false,false,0,0,0
univ_bench,500,1000,25,30,0.038,0.035,0.007,0.035,0.203291,false,0,1,0,500,48000,false,false,0,0,0
disjunctive_5k,500,1000,25,30,32.908,1416.108,1475.542,32.908,44.837884,true,1000,1500,70000,500,48000,true,true,1447,0,0
synthetic_union_1x4,500,1000,50,15,0.003,4.168,0.032,0.003,12.089845,false,1,1,240,500,48000,false,false,0,0,0
synthetic_union_2x8,500,1000,50,15,0.003,0.669,0.209,0.003,66.680192,false,2,3,960,500,48000,false,false,0,0,0
synthetic_complement_4x4,500,1000,50,15,0.002,1.009,0.090,0.002,54.938415,false,4,6,1200,500,48000,false,false,0,0,0
synthetic_union_6x8,500,1000,50,15,0.004,3243.070,0.487,0.004,132.348370,false,6,11,2880,500,48000,false,false,0,0,0
synthetic_complement_6x6,500,1000,50,15,0.021,576.235,0.387,0.021,18.188346,false,6,10,2700,500,48000,false,false,0,0,0
hierarchy_100,500,1000,50,15,1.588,1.195,0.709,1.195,0.593467,false,0,10,0,500,48000,false,false,0,0,0
univ_bench,500,1000,50,15,0.038,0.035,0.006,0.035,0.158572,false,0,1,0,500,48000,false,false,0,0,0
disjunctive_5k,500,1000,50,15,32.908,1416.108,1496.468,32.908,45.473761,true,1000,1500,120000,500,48000,true,true,1659,0,0
synthetic_union_1x4,500,1000,50,30,0.003,4.168,0.245,0.003,92.591166,false,1,1,240,500,48000,false,false,0,0,0
synthetic_union_2x8,500,1000,50,30,0.003,0.669,0.164,0.003,52.530351,false,2,3,960,500,48000,false,false,0,0,0
synthetic_complement_4x4,500,1000,50,30,0.002,1.009,0.121,0.002,74.057317,false,4,6,1440,500,48000,false,false,0,0,0
synthetic_union_6x8,500,1000,50,30,0.004,3243.070,0.478,0.004,129.996467,false,6,11,2880,500,48000,false,false,0,0,0
synthetic_complement_6x6,500,1000,50,30,0.021,576.235,0.407,0.021,19.103665,false,6,10,3240,500,48000,false,false,0,0,0
hierarchy_100,500,1000,50,30,1.588,1.195,0.112,1.195,0.094101,false,0,10,0,500,48000,false,false,0,0,0
univ_bench,500,1000,50,30,0.038,0.035,0.006,0.035,0.169837,false,0,1,0,500,48000,false,false,0,0,0
disjunctive_5k,500,1000,50,30,32.908,1416.108,636.752,32.908,19.349238,true,1000,1500,120000,500,48000,true,true,739,0,0
synthetic_union_1x4,1000,250,25,15,0.003,4.168,0.040,0.003,14.951680,false,1,1,140,1000,12000,false,false,0,0,0
synthetic_union_2x8,1000,250,25,15,0.003,0.669,0.193,0.003,61.650479,false,2,3,560,1000,12000,false,false,0,0,0
synthetic_complement_4x4,1000,250,25,15,0.002,1.009,0.116,0.002,70.588415,false,4,6,800,1000,12000,false,false,0,0,0
synthetic_union_6x8,1000,250,25,15,0.004,3243.070,0.414,0.004,112.386957,false,6,11,1680,1000,12000,false,false,0,0,0
synthetic_complement_6x6,1000,250,25,15,0.021,576.235,0.391,0.021,18.387359,false,6,10,1800,1000,12000,false,false,0,0,0
hierarchy_100,1000,250,25,15,1.588,1.195,0.106,1.195,0.088373,false,0,10,0,1000,12000,false,false,0,0,0
univ_bench,1000,250,25,15,0.038,0.035,0.006,0.035,0.163335,false,0,1,0,1000,12000,false,false,0,0,0
disjunctive_5k,1000,250,25,15,32.908,1416.108,2135.163,32.908,64.882017,true,1000,1500,70000,1000,12000,true,true,1795,0,0
synthetic_union_1x4,1000,250,25,30,0.003,4.168,0.026,0.003,9.627784,false,1,1,140,1000,12000,false,false,0,0,0
synthetic_union_2x8,1000,250,25,30,0.003,0.669,0.189,0.003,60.480831,false,2,3,560,1000,12000,false,false,0,0,0
synthetic_complement_4x4,1000,250,25,30,0.002,1.009,0.058,0.002,35.184756,false,4,6,1040,1000,12000,false,false,0,0,0
synthetic_union_6x8,1000,250,25,30,0.004,3243.070,0.248,0.004,67.336685,false,6,11,1680,1000,12000,false,false,0,0,0
synthetic_complement_6x6,1000,250,25,30,0.021,576.235,0.194,0.021,9.135103,false,6,10,2340,1000,12000,false,false,0,0,0
hierarchy_100,1000,250,25,30,1.588,1.195,0.074,1.195,0.061927,false,0,10,0,1000,12000,false,false,0,0,0
univ_bench,1000,250,25,30,0.038,0.035,0.004,0.035,0.123178,false,0,1,0,1000,12000,false,false,0,0,0
disjunctive_5k,1000,250,25,30,32.908,1416.108,1022.914,32.908,31.083696,true,1000,1500,70000,1000,12000,true,true,1419,0,0
synthetic_union_1x4,1000,250,50,15,0.003,4.168,0.026,0.003,9.706682,false,1,1,240,1000,12000,false,false,0,0,0
synthetic_union_2x8,1000,250,50,15,0.003,0.669,0.219,0.003,69.886581,false,2,3,960,1000,12000,false,false,0,0,0
synthetic_complement_4x4,1000,250,50,15,0.002,1.009,0.068,0.002,41.258537,false,4,6,1200,1000,12000,false,false,0,0,0
synthetic_union_6x8,1000,250,50,15,0.004,3243.070,0.233,0.004,63.365217,false,6,11,2880,1000,12000,false,false,0,0,0
synthetic_complement_6x6,1000,250,50,15,0.021,576.235,0.244,0.021,11.449389,false,6,10,2700,1000,12000,false,false,0,0,0
hierarchy_100,1000,250,50,15,1.588,1.195,0.098,1.195,0.081944,false,0,10,0,1000,12000,false,false,0,0,0
univ_bench,1000,250,50,15,0.038,0.035,0.005,0.035,0.134900,false,0,1,0,1000,12000,false,false,0,0,0
disjunctive_5k,1000,250,50,15,32.908,1416.108,628.555,32.908,19.100149,true,1000,1500,120000,1000,12000,true,true,753,0,0
synthetic_union_1x4,1000,250,50,30,0.003,4.168,0.029,0.003,11.090223,false,1,1,240,1000,12000,false,false,0,0,0
synthetic_union_2x8,1000,250,50,30,0.003,0.669,0.153,0.003,48.723642,false,2,3,960,1000,12000,false,false,0,0,0
synthetic_complement_4x4,1000,250,50,30,0.002,1.009,0.071,0.002,43.442073,false,4,6,1440,1000,12000,false,false,0,0,0
synthetic_union_6x8,1000,250,50,30,0.004,3243.070,0.227,0.004,61.620109,false,6,11,2880,1000,12000,false,false,0,0,0
synthetic_complement_6x6,1000,250,50,30,0.021,576.235,0.229,0.021,10.767528,false,6,10,3240,1000,12000,false,false,0,0,0
hierarchy_100,1000,250,50,30,1.588,1.195,0.097,1.195,0.081315,false,0,10,0,1000,12000,false,false,0,0,0
univ_bench,1000,250,50,30,0.038,0.035,0.005,0.035,0.145481,false,0,1,0,1000,12000,false,false,0,0,0
disjunctive_5k,1000,250,50,30,32.908,1416.108,1300.786,32.908,39.527481,true,1000,1500,120000,1000,12000,true,true,1437,0,0
synthetic_union_1x4,1000,500,25,15,0.003,4.168,0.284,0.003,107.147980,false,1,1,140,1000,24000,false,false,0,0,0
synthetic_union_2x8,1000,500,25,15,0.003,0.669,0.397,0.003,126.884345,false,2,3,560,1000,24000,false,false,0,0,0
synthetic_complement_4x4,1000,500,25,15,0.002,1.009,0.117,0.002,71.198780,false,4,6,800,1000,24000,false,false,0,0,0
synthetic_union_6x8,1000,500,25,15,0.004,3243.070,0.375,0.004,101.864130,false,6,11,1680,1000,24000,false,false,0,0,0
synthetic_complement_6x6,1000,500,25,15,0.021,576.235,0.391,0.021,18.353524,false,6,10,1800,1000,24000,false,false,0,0,0
hierarchy_100,1000,500,25,15,1.588,1.195,0.103,1.195,0.086360,false,0,10,0,1000,24000,false,false,0,0,0
univ_bench,1000,500,25,15,0.038,0.035,0.006,0.035,0.182386,false,0,1,0,1000,24000,false,false,0,0,0
disjunctive_5k,1000,500,25,15,32.908,1416.108,1356.639,32.908,41.224732,true,1000,1500,70000,1000,24000,true,true,1603,0,0
synthetic_union_1x4,1000,500,25,30,0.003,4.168,0.028,0.003,10.530389,false,1,1,140,1000,24000,false,false,0,0,0
synthetic_union_2x8,1000,500,25,30,0.003,0.669,0.093,0.003,29.749201,false,2,3,560,1000,24000,false,false,0,0,0
synthetic_complement_4x4,1000,500,25,30,0.002,1.009,0.068,0.002,41.743902,false,4,6,1040,1000,24000,false,false,0,0,0
synthetic_union_6x8,1000,500,25,30,0.004,3243.070,0.253,0.004,68.661957,false,6,11,1680,1000,24000,false,false,0,0,0
synthetic_complement_6x6,1000,500,25,30,0.021,576.235,0.257,0.021,12.087688,false,6,10,2340,1000,24000,false,false,0,0,0
hierarchy_100,1000,500,25,30,1.588,1.195,0.093,1.195,0.077946,false,0,10,0,1000,24000,false,false,0,0,0
univ_bench,1000,500,25,30,0.038,0.035,0.005,0.035,0.142886,false,0,1,0,1000,24000,false,false,0,0,0
